Compiling 
g++ -c main.cpp -std=c++11 -DUSE_SOME_DEF
g++ main.o -std=c++11 -o assignment -DUSE_SOME_DEF
Running...
Testcase 001 [130 ms]: FAILED
Testcase 002 [135 ms]: FAILED
Testcase 003 [137 ms]: FAILED
Testcase 004 [131 ms]: FAILED
Testcase 005 [147 ms]: FAILED
Testcase 006 [138 ms]: FAILED
Testcase 007 [133 ms]: FAILED
Testcase 008 [131 ms]: FAILED
Testcase 009 [131 ms]: FAILED
Testcase 010 [134 ms]: FAILED
Testcase 011 [133 ms]: FAILED
Testcase 012 [134 ms]: FAILED
Testcase 013 [144 ms]: FAILED
Testcase 014 [133 ms]: FAILED
Testcase 015 [132 ms]: FAILED
Testcase 016 [140 ms]: FAILED
Testcase 017 [144 ms]: FAILED
Testcase 018 [6 ms]: PASSED
Testcase 019 [144 ms]: FAILED
Testcase 020 [136 ms]: FAILED
